"name";"latitude";"longitude";"status";"installation";"project";"path_data_files";"acquirer_importer_cfg"
"0N0E";0;0;"deactivated";1998-02-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/0n0e";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"0N3W";0;-3;"active";2021-03-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/0n3w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"0N10W";0;-10;"active";1997-09-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/0n10w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"0N23W";0;-23;"active";1999-03-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/0n23w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"0N35W";0;-35;"unknown";1998-01-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/0n35w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"2N10W";2;-10;"deactivated";1999-11-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/2n10w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"2S10W";-2;-10;"deactivated";1999-11-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/2s10w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"4N23W";4;-23;"active";2006-06-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/4n23w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"4N38W";4;-38;"unknown";1999-02-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/4n38w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"5S10W";-5;-10;"deactivated";1999-01-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/5s10w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"6S8E";-6;8;"deactivated";2006-06-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/6s8e";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"6S10W";-6;-10;"active";2000-03-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/6s10w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"8N38W";8;-38;"unknown";1998-01-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/8n38w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"8S30W";-8;-30;"active";2005-08-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/8s30w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"10S10W";-10;-10;"active";1997-09-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/10s10w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"12N23W";12;-23;"active";2006-06-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/12n23w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"12N38W";12;-38;"unknown";1999-02-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/12n38w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"14S32W";-14;-32;"active";2005-08-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/14s32w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"15N38W";15;-38;"active";1998-01-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/15n38w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"19S34W";-19;-34;"active";2005-08-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/19s34w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"20N38W";20;-38;"unknown";2007-05-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/20n38w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
"20S10W";-20;-10;"unknown";2020-03-01 00:00:00;"PIRATA";"/srv/pmel/dadosEstacoes/20s10w";"{ ""regularity"": ""hr"", ""file_out_types"": [ ""perfil_dens"", ""perfil_temp"", ""perfil_sal"", ""met"", ""doppler""] }"
