name;description;type_class;unit;equipment
UWND;U Wind (m/s) is the East-West vector component, also referred to as the U or zonal component of the wind. Positive values are directed East.;met;m/s;Anemometer
VWND;V Wind is (m/s) the North-South vector component of the wind, also referred to as the V or meridional component of the wind. Positive values are directed North.;met;m/s;Anemometer
WSPD;Wind Speed (m/s);met;m/s;Anemometer
WDIR;Wind Direction (°);met;°;Anemometer
AIRT;Air temperature (°C);met;°C;PROBE
SST;Sea Surface Temperature (°C);met;°C;CTD
RH;Relative Humidity (%);met;%;PROBE
SLP;Sea-level barometric pressure (hPa);met;hPa;Barometer
PREC; Precipitation (mm/h);met;mm/h;Rain Gauge
SWRad;Shortwave solar radiation (W/m²);met;W/m²;Pyranometer
LWRad;Longwave radiation (W/m²);met;W/m²;Pyrgeometer
TEMP2;Water Temperature at 2.0 m depth (°C);ocean;°C;CTD
TEMP3;Water Temperature at 3.0 m depth (°C);ocean;°C;CTD
TEMP4;Water Temperature at 4.0 m depth (°C);ocean;°C;CTD
TEMP5;Water Temperature at 5.0 m depth (°C);ocean;°C;CTD
TEMP7;Water Temperature at 7.0 m depth (°C);ocean;°C;CTD
TEMP8;Water Temperature at 8.0 m depth (°C);ocean;°C;CTD
TEMP9;Water Temperature at 9.0 m depth (°C);ocean;°C;CTD
TEMP10;Water Temperature at 10.0 m depth (°C);ocean;°C;CTD
TEMP11;Water Temperature at 11.0 m depth (°C);ocean;°C;CTD
TEMP13;Water Temperature at 13.0 m depth (°C);ocean;°C;CTD
TEMP14;Water Temperature at 14.0 m depth (°C);ocean;°C;CTD
TEMP15;Water Temperature at 15.0 m depth (°C);ocean;°C;CTD
TEMP16;Water Temperature at 16.0 m depth (°C);ocean;°C;CTD
TEMP17;Water Temperature at 17.0 m depth (°C);ocean;°C;CTD
TEMP20;Water Temperature at 20.0 m depth (°C);ocean;°C;CTD
TEMP23;Water Temperature at 23.0 m depth (°C);ocean;°C;CTD
TEMP24;Water Temperature at 24.0 m depth (°C);ocean;°C;CTD
TEMP25;Water Temperature at 25.0 m depth (°C);ocean;°C;CTD
TEMP26;Water Temperature at 26.0 m depth (°C);ocean;°C;CTD
TEMP28;Water Temperature at 28.0 m depth (°C);ocean;°C;CTD
TEMP29;Water Temperature at 29.0 m depth (°C);ocean;°C;CTD
TEMP30;Water Temperature at 30.0 m depth (°C);ocean;°C;CTD
TEMP31;Water Temperature at 31.0 m depth (°C);ocean;°C;CTD
TEMP33;Water Temperature at 33.0 m depth (°C);ocean;°C;CTD
TEMP34;Water Temperature at 34.0 m depth (°C);ocean;°C;CTD
TEMP35;Water Temperature at 35.0 m depth (°C);ocean;°C;CTD
TEMP36;Water Temperature at 36.0 m depth (°C);ocean;°C;CTD
TEMP37;Water Temperature at 37.0 m depth (°C);ocean;°C;CTD
TEMP40;Water Temperature at 40.0 m depth (°C);ocean;°C;CTD
TEMP41;Water Temperature at 41.0 m depth (°C);ocean;°C;CTD
TEMP43;Water Temperature at 43.0 m depth (°C);ocean;°C;CTD
TEMP45;Water Temperature at 45.0 m depth (°C);ocean;°C;CTD
TEMP46;Water Temperature at 46.0 m depth (°C);ocean;°C;CTD
TEMP47;Water Temperature at 47.0 m depth (°C);ocean;°C;CTD
TEMP48;Water Temperature at 48.0 m depth (°C);ocean;°C;CTD
TEMP49;Water Temperature at 49.0 m depth (°C);ocean;°C;CTD
TEMP50;Water Temperature at 50.0 m depth (°C);ocean;°C;CTD
TEMP51;Water Temperature at 51.0 m depth (°C);ocean;°C;CTD
TEMP53;Water Temperature at 53.0 m depth (°C);ocean;°C;CTD
TEMP55;Water Temperature at 55.0 m depth (°C);ocean;°C;CTD
TEMP57;Water Temperature at 57.0 m depth (°C);ocean;°C;CTD
TEMP59;Water Temperature at 59.0 m depth (°C);ocean;°C;CTD
TEMP60;Water Temperature at 60.0 m depth (°C);ocean;°C;CTD
TEMP61;Water Temperature at 61.0 m depth (°C);ocean;°C;CTD
TEMP62;Water Temperature at 62.0 m depth (°C);ocean;°C;CTD
TEMP63;Water Temperature at 63.0 m depth (°C);ocean;°C;CTD
TEMP66;Water Temperature at 66.0 m depth (°C);ocean;°C;CTD
TEMP70;Water Temperature at 70.0 m depth (°C);ocean;°C;CTD
TEMP75;Water Temperature at 75.0 m depth (°C);ocean;°C;CTD
TEMP80;Water Temperature at 80.0 m depth (°C);ocean;°C;CTD
TEMP82;Water Temperature at 82.0 m depth (°C);ocean;°C;CTD
TEMP83;Water Temperature at 83.0 m depth (°C);ocean;°C;CTD
TEMP85;Water Temperature at 85.0 m depth (°C);ocean;°C;CTD
TEMP87;Water Temperature at 87.0 m depth (°C);ocean;°C;CTD
TEMP90;Water Temperature at 90.0 m depth (°C);ocean;°C;CTD
TEMP91;Water Temperature at 91.0 m depth (°C);ocean;°C;CTD
TEMP98;Water Temperature at 98.0 m depth (°C);ocean;°C;CTD
TEMP99;Water Temperature at 99.0 m depth (°C);ocean;°C;CTD
TEMP100;Water Temperature at 100.0 m depth (°C);ocean;°C;CTD
TEMP101;Water Temperature at 101.0 m depth (°C);ocean;°C;CTD
TEMP102;Water Temperature at 102.0 m depth (°C);ocean;°C;CTD
TEMP103;Water Temperature at 103.0 m depth (°C);ocean;°C;CTD
TEMP107;Water Temperature at 107.0 m depth (°C);ocean;°C;CTD
TEMP110;Water Temperature at 110.0 m depth (°C);ocean;°C;CTD
TEMP112;Water Temperature at 112.0 m depth (°C);ocean;°C;CTD
TEMP120;Water Temperature at 120.0 m depth (°C);ocean;°C;CTD
TEMP121;Water Temperature at 121.0 m depth (°C);ocean;°C;CTD
TEMP122;Water Temperature at 122.0 m depth (°C);ocean;°C;CTD
TEMP123;Water Temperature at 123.0 m depth (°C);ocean;°C;CTD
TEMP125;Water Temperature at 125.0 m depth (°C);ocean;°C;CTD
TEMP130;Water Temperature at 130.0 m depth (°C);ocean;°C;CTD
TEMP132;Water Temperature at 132.0 m depth (°C);ocean;°C;CTD
TEMP137;Water Temperature at 137.0 m depth (°C);ocean;°C;CTD
TEMP140;Water Temperature at 140.0 m depth (°C);ocean;°C;CTD
TEMP142;Water Temperature at 142.0 m depth (°C);ocean;°C;CTD
TEMP150;Water Temperature at 150.0 m depth (°C);ocean;°C;CTD
TEMP151;Water Temperature at 151.0 m depth (°C);ocean;°C;CTD
TEMP153;Water Temperature at 153.0 m depth (°C);ocean;°C;CTD
TEMP157;Water Temperature at 157.0 m depth (°C);ocean;°C;CTD
TEMP160;Water Temperature at 160.0 m depth (°C);ocean;°C;CTD
TEMP161;Water Temperature at 161.0 m depth (°C);ocean;°C;CTD
TEMP162;Water Temperature at 162.0 m depth (°C);ocean;°C;CTD
TEMP170;Water Temperature at 170.0 m depth (°C);ocean;°C;CTD
TEMP175;Water Temperature at 175.0 m depth (°C);ocean;°C;CTD
TEMP179;Water Temperature at 179.0 m depth (°C);ocean;°C;CTD
TEMP180;Water Temperature at 180.0 m depth (°C);ocean;°C;CTD
TEMP183;Water Temperature at 183.0 m depth (°C);ocean;°C;CTD
TEMP199;Water Temperature at 199.0 m depth (°C);ocean;°C;CTD
TEMP200;Water Temperature at 200.0 m depth (°C);ocean;°C;CTD
TEMP201;Water Temperature at 201.0 m depth (°C);ocean;°C;CTD
TEMP203;Water Temperature at 203.0 m depth (°C);ocean;°C;CTD
TEMP207;Water Temperature at 207.0 m depth (°C);ocean;°C;CTD
TEMP222;Water Temperature at 222.0 m depth (°C);ocean;°C;CTD
TEMP225;Water Temperature at 225.0 m depth (°C);ocean;°C;CTD
TEMP232;Water Temperature at 232.0 m depth (°C);ocean;°C;CTD
TEMP250;Water Temperature at 250.0 m depth (°C);ocean;°C;CTD
